"what","portfolio.monthly.return....","benchmark.return...."
"Adjusted Sharpe ratio (Risk free = 0.25)",-16.0457936143012,-14.5060113347896
"Adjusted Sharpe ratio (Risk free = 0.25)",-18.0281269374896,-16.4178375610203
"Adjusted Sharpe ratio (Risk free = 0.25)",-17.0148168159397,-16.4003877642356
"Adjusted Sharpe ratio (Risk free = 0.25)",-17.0011366614186,-15.8175541271
"Adjusted Sharpe ratio (Risk free = 0.25)",-16.5044130619228,-15.1326189068062
"Adjusted Sharpe ratio (Risk free = 0.25)",-15.9571123121977,-14.1563200439909
"Adjusted Sharpe ratio (Risk free = 0.3)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.3)",-459.183985031977,-459.586839048352
"Adjusted Sharpe ratio (Risk free = 0.3)",-885.843058993368,-935.436744373064
"Adjusted Sharpe ratio (Risk free = 0.3)",-341.351136432099,-370.549473942354
"Adjusted Sharpe ratio (Risk free = 0.3)",-407.111947540321,-425.712383534352
"Adjusted Sharpe ratio (Risk free = 0.3)",-409.195199236172,-387.492879816818
"Adjusted Sharpe ratio (Risk free = 0.3)",-350.393726740805,-256.00185863048
"Adjusted Sharpe ratio (Risk free = 0.3)",79.899112254106,98.2832260213456
"Adjusted Sharpe ratio (Risk free = 0.3)",51.9652055026211,59.3255744672111
"Adjusted Sharpe ratio (Risk free = 0.3)",2.10556596736916,-5.84498730245739
"Adjusted Sharpe ratio (Risk free = 0.3)",11.6609274240226,2.37365549190411
"Adjusted Sharpe ratio (Risk free = 0.3)",-7.30377227077366,-3.55345572223715
"Adjusted Sharpe ratio (Risk free = 0.3)",-14.3350543636754,-9.38946630822523
"Adjusted Sharpe ratio (Risk free = 0.3)",-13.765790597108,-11.070638831038
"Adjusted Sharpe ratio (Risk free = 0.3)",-11.6980216961349,-10.6239085342482
"Adjusted Sharpe ratio (Risk free = 0.3)",-8.65176682318616,-7.4391061707765
"Adjusted Sharpe ratio (Risk free = 0.3)",-14.2827968356395,-12.9690769672238
"Adjusted Sharpe ratio (Risk free = 0.3)",-14.2486366188788,-11.6409041692199
"Adjusted Sharpe ratio (Risk free = 0.3)",-16.7900986841294,-15.1163387972818
"Adjusted Sharpe ratio (Risk free = 0.3)",-18.9222824508149,-17.1690369495457
"Adjusted Sharpe ratio (Risk free = 0.3)",-17.8047885949176,-17.1261970931098
"Adjusted Sharpe ratio (Risk free = 0.3)",-17.7833705015451,-16.4938749705757
"Adjusted Sharpe ratio (Risk free = 0.3)",-17.2474325623767,-15.7567207445111
"Adjusted Sharpe ratio (Risk free = 0.3)",-16.6599660829623,-14.7097189969986
"StdDev Sharpe (Rf=0%, p=95%):",NA,NA
"StdDev Sharpe (Rf=0%, p=95%):",0.891569419756951,0.830081873566817
"StdDev Sharpe (Rf=0%, p=95%):",1.14192533907984,1.27228339451996
"StdDev Sharpe (Rf=0%, p=95%):",0.497792483699979,0.525466126102843
"StdDev Sharpe (Rf=0%, p=95%):",0.668042657122685,0.674952626447658
"StdDev Sharpe (Rf=0%, p=95%):",0.851181007844102,0.83486801848851
"StdDev Sharpe (Rf=0%, p=95%):",0.973591837631211,0.945989584810547
"StdDev Sharpe (Rf=0%, p=95%):",0.846291606273541,0.824000454173163
"StdDev Sharpe (Rf=0%, p=95%):",0.64759126290684,0.618574401280119
"StdDev Sharpe (Rf=0%, p=95%):",0.752474368724665,0.726429199330154
"StdDev Sharpe (Rf=0%, p=95%):",0.670259753405959,0.641446082061915
"StdDev Sharpe (Rf=0%, p=95%):",0.724456269333718,0.696529445874154
"StdDev Sharpe (Rf=0%, p=95%):",0.794520745823213,0.764771435148023
"StdDev Sharpe (Rf=0%, p=95%):",0.580591037112836,0.555584680986015
"StdDev Sharpe (Rf=0%, p=95%):",0.3566360956461,0.336848254362244
"StdDev Sharpe (Rf=0%, p=95%):",0.375807529323244,0.352907980492328
"StdDev Sharpe (Rf=0%, p=95%):",0.257899443957137,0.241248094780466
"StdDev Sharpe (Rf=0%, p=95%):",0.213172566230071,0.265902503253392
"StdDev Sharpe (Rf=0%, p=95%):",0.288075309678192,0.330809267214754
"StdDev Sharpe (Rf=0%, p=95%):",0.344821083521174,0.386009984974635
"StdDev Sharpe (Rf=0%, p=95%):",0.233774754146306,0.261704632074708
"StdDev Sharpe (Rf=0%, p=95%):",0.254605305567657,0.277323004127987
"StdDev Sharpe (Rf=0%, p=95%):",0.243064804041073,0.267414688447848
"StdDev Sharpe (Rf=0%, p=95%):",0.227568455662389,0.261624889556007
"StdDev Sharpe (Rf=5%, p=95%):",NA,NA
"StdDev Sharpe (Rf=5%, p=95%):",-2.18280788974978,-2.24429543593991
"StdDev Sharpe (Rf=5%, p=95%):",-3.14029468246955,-2.9686612538799
"StdDev Sharpe (Rf=5%, p=95%):",-2.82082407429988,-2.56551108626682
"StdDev Sharpe (Rf=5%, p=95%):",-3.04330543800334,-2.84042563630056
"StdDev Sharpe (Rf=5%, p=95%):",-2.79673759720205,-2.95998661100472
"StdDev Sharpe (Rf=5%, p=95%):",-2.98870052482139,-3.1927148487356
"StdDev Sharpe (Rf=5%, p=95%):",-1.3662354689514,-1.44910424699418
"StdDev Sharpe (Rf=5%, p=95%):",-1.44892721412969,-1.52264468007414
"StdDev Sharpe (Rf=5%, p=95%):",-1.34940934279675,-1.38528358942029
"StdDev Sharpe (Rf=5%, p=95%):",-1.4483773981646,-1.48382708139624
"StdDev Sharpe (Rf=5%, p=95%):",-0.980146717333854,-0.981854761051518
"StdDev Sharpe (Rf=5%, p=95%):",-0.956118185651663,-0.961275206679112
"StdDev Sharpe (Rf=5%, p=95%):",-0.994655962805711,-1.00005242577483
"StdDev Sharpe (Rf=5%, p=95%):",-1.00111553752433,-1.00696127101905
"StdDev Sharpe (Rf=5%, p=95%):",-1.02908043076365,-1.0378623859799
"StdDev Sharpe (Rf=5%, p=95%):",-1.07067344915539,-1.08172532820919
"StdDev Sharpe (Rf=5%, p=95%):",-1.12847295549765,-1.09382620656509
"StdDev Sharpe (Rf=5%, p=95%):",-0.996767620811395,-1.00083820674294
"StdDev Sharpe (Rf=5%, p=95%):",-0.927581438697181,-0.935942018363155
"StdDev Sharpe (Rf=5%, p=95%):",-0.95779559465768,-0.959583650940595
"StdDev Sharpe (Rf=5%, p=95%):",-0.9630722427994,-0.972903653826052
"StdDev Sharpe (Rf=5%, p=95%):",-0.9992664166133,-1.00863050539043
"StdDev Sharpe (Rf=5%, p=95%):",-1.03670074246199,-1.04107165595108
"StdDev Sharpe (Rf=10%, p=95%):",NA,NA
"StdDev Sharpe (Rf=10%, p=95%):",-5.25718519925651,-5.31867274544664
"StdDev Sharpe (Rf=10%, p=95%):",-7.42251470401894,-7.20960590227975
"StdDev Sharpe (Rf=10%, p=95%):",-6.13944063229974,-5.65648829863648
"StdDev Sharpe (Rf=10%, p=95%):",-6.75465353312937,-6.35580389904878
"StdDev Sharpe (Rf=10%, p=95%):",-6.44465620224821,-6.75484124049794
"StdDev Sharpe (Rf=10%, p=95%):",-6.950992887274,-7.33141928228174
"StdDev Sharpe (Rf=10%, p=95%):",-3.57876254417635,-3.72220894816153
"StdDev Sharpe (Rf=10%, p=95%):",-3.54544569116622,-3.6638637614284
"StdDev Sharpe (Rf=10%, p=95%):",-3.45129305431816,-3.49699637817074
"StdDev Sharpe (Rf=10%, p=95%):",-3.56701454973516,-3.60910024485439
"StdDev Sharpe (Rf=10%, p=95%):",-2.68474970400143,-2.66023896797719
"StdDev Sharpe (Rf=10%, p=95%):",-2.70675711712654,-2.68732184850625
"StdDev Sharpe (Rf=10%, p=95%):",-2.56990296272426,-2.55568953253567
"StdDev Sharpe (Rf=10%, p=95%):",-2.35886717069477,-2.35077079640034
"StdDev Sharpe (Rf=10%, p=95%):",-2.43396839085054,-2.42863275245213
"StdDev Sharpe (Rf=10%, p=95%):",-2.39924634226791,-2.40469875119884
"StdDev Sharpe (Rf=10%, p=95%):",-2.47011847722537,-2.45355491638357
"StdDev Sharpe (Rf=10%, p=95%):",-2.28161055130098,-2.33248568070064
"StdDev Sharpe (Rf=10%, p=95%):",-2.19998396091553,-2.25789402170095
"StdDev Sharpe (Rf=10%, p=95%):",-2.14936594346167,-2.1808719339559
"StdDev Sharpe (Rf=10%, p=95%):",-2.18074979116646,-2.22313031178009
"StdDev Sharpe (Rf=10%, p=95%):",-2.24159763726767,-2.28467569922871
"StdDev Sharpe (Rf=10%, p=95%):",-2.30096994058638,-2.34376820145817
"StdDev Sharpe (Rf=15%, p=95%):",NA,NA
"StdDev Sharpe (Rf=15%, p=95%):",-8.33156250876324,-8.39305005495337
"StdDev Sharpe (Rf=15%, p=95%):",-11.7047347255683,-11.4505505506796
"StdDev Sharpe (Rf=15%, p=95%):",-9.4580571902996,-8.74746551100615
"StdDev Sharpe (Rf=15%, p=95%):",-10.4660016282554,-9.87118216179699
"StdDev Sharpe (Rf=15%, p=95%):",-10.0925748072944,-10.5496958699912
"StdDev Sharpe (Rf=15%, p=95%):",-10.9132852497266,-11.4701237158279
"StdDev Sharpe (Rf=15%, p=95%):",-5.79128961940129,-5.99531364932888
"StdDev Sharpe (Rf=15%, p=95%):",-5.64196416820275,-5.80508284278266
"StdDev Sharpe (Rf=15%, p=95%):",-5.55317676583957,-5.60870916692119
"StdDev Sharpe (Rf=15%, p=95%):",-5.68565170130572,-5.73437340831254
"StdDev Sharpe (Rf=15%, p=95%):",-4.389352690669,-4.33862317490286
"StdDev Sharpe (Rf=15%, p=95%):",-4.45739604860141,-4.41336849033338
"StdDev Sharpe (Rf=15%, p=95%):",-4.14514996264281,-4.11132663929651
"StdDev Sharpe (Rf=15%, p=95%):",-3.7166188038652,-3.69458032178163
"StdDev Sharpe (Rf=15%, p=95%):",-3.83885635093743,-3.81940311892435
"StdDev Sharpe (Rf=15%, p=95%):",-3.72781923538043,-3.72767217418849
"StdDev Sharpe (Rf=15%, p=95%):",-3.81176399895309,-3.81328362620206
"StdDev Sharpe (Rf=15%, p=95%):",-3.56645348179057,-3.66413315465834
"StdDev Sharpe (Rf=15%, p=95%):",-3.47238648313389,-3.57984602503874
"StdDev Sharpe (Rf=15%, p=95%):",-3.34093629226565,-3.4021602169712
"StdDev Sharpe (Rf=15%, p=95%):",-3.39842733953352,-3.47335696973413
"StdDev Sharpe (Rf=15%, p=95%):",-3.48392885792204,-3.560720893067
"StdDev Sharpe (Rf=15%, p=95%):",-3.56523913871076,-3.64646474696526
"StdDev Sharpe (Rf=20%, p=95%):",NA,NA
"StdDev Sharpe (Rf=20%, p=95%):",-11.40593981827,-11.4674273644601
"StdDev Sharpe (Rf=20%, p=95%):",-15.9869547471177,-15.6914951990795
"StdDev Sharpe (Rf=20%, p=95%):",-12.7766737482995,-11.8384427233758
"StdDev Sharpe (Rf=20%, p=95%):",-14.1773497233814,-13.3865604245452
"StdDev Sharpe (Rf=20%, p=95%):",-13.7404934123405,-14.3445504994844
"StdDev Sharpe (Rf=20%, p=95%):",-14.8755776121792,-15.608828149374
"StdDev Sharpe (Rf=20%, p=95%):",-8.00381669462624,-8.26841835049622
"StdDev Sharpe (Rf=20%, p=95%):",-7.73848264523929,-7.94630192413692
"StdDev Sharpe (Rf=20%, p=95%):",-7.65506047736098,-7.72042195567164
"StdDev Sharpe (Rf=20%, p=95%):",-7.80428885287628,-7.85964657177069
"StdDev Sharpe (Rf=20%, p=95%):",-6.09395567733657,-6.01700738182854
"StdDev Sharpe (Rf=20%, p=95%):",-6.20803498007629,-6.13941513216052
"StdDev Sharpe (Rf=20%, p=95%):",-5.72039696256135,-5.66696374605735
"StdDev Sharpe (Rf=20%, p=95%):",-5.07437043703563,-5.03838984716292
"StdDev Sharpe (Rf=20%, p=95%):",-5.24374431102433,-5.21017348539658
"StdDev Sharpe (Rf=20%, p=95%):",-5.05639212849296,-5.05064559717815
"StdDev Sharpe (Rf=20%, p=95%):",-5.1534095206808,-5.17301233602054
"StdDev Sharpe (Rf=20%, p=95%):",-4.85129641228016,-4.99578062861604
"StdDev Sharpe (Rf=20%, p=95%):",-4.74478900535224,-4.90179802837653
"StdDev Sharpe (Rf=20%, p=95%):",-4.53250664106964,-4.6234484999865
"StdDev Sharpe (Rf=20%, p=95%):",-4.61610488790057,-4.72358362768817
"StdDev Sharpe (Rf=20%, p=95%):",-4.72626007857642,-4.83676608690528
"StdDev Sharpe (Rf=20%, p=95%):",-4.82950833683514,-4.94916129247235
"StdDev Sharpe (Rf=25%, p=95%):",NA,NA
"StdDev Sharpe (Rf=25%, p=95%):",-14.4803171277767,-14.5418046739668
"StdDev Sharpe (Rf=25%, p=95%):",-20.2691747686671,-19.9324398474793
"StdDev Sharpe (Rf=25%, p=95%):",-16.0952903062993,-14.9294199357455
"StdDev Sharpe (Rf=25%, p=95%):",-17.8886978185075,-16.9019386872934
"StdDev Sharpe (Rf=25%, p=95%):",-17.3884120173867,-18.1394051289776
"StdDev Sharpe (Rf=25%, p=95%):",-18.8378699746318,-19.7475325829202
"StdDev Sharpe (Rf=25%, p=95%):",-10.2163437698512,-10.5415230516636
"StdDev Sharpe (Rf=25%, p=95%):",-9.83500112227582,-10.0875210054912
"StdDev Sharpe (Rf=25%, p=95%):",-9.75694418888238,-9.83213474442208
"StdDev Sharpe (Rf=25%, p=95%):",-9.92292600444684,-9.98491973522884
"StdDev Sharpe (Rf=25%, p=95%):",-7.79855866400414,-7.69539158875421
"StdDev Sharpe (Rf=25%, p=95%):",-7.95867391155116,-7.86546177398765
"StdDev Sharpe (Rf=25%, p=95%):",-7.2956439624799,-7.22260085281819
"StdDev Sharpe (Rf=25%, p=95%):",-6.43212207020606,-6.38219937254422
"StdDev Sharpe (Rf=25%, p=95%):",-6.64863227111122,-6.60094385186881
"StdDev Sharpe (Rf=25%, p=95%):",-6.38496502160548,-6.3736190201678
"StdDev Sharpe (Rf=25%, p=95%):",-6.49505504240852,-6.53274104583902
"StdDev Sharpe (Rf=25%, p=95%):",-6.13613934276974,-6.32742810257373
"StdDev Sharpe (Rf=25%, p=95%):",-6.0171915275706,-6.22375003171432
"StdDev Sharpe (Rf=25%, p=95%):",-5.72407698987363,-5.8447367830018
"StdDev Sharpe (Rf=25%, p=95%):",-5.83378243626763,-5.97381028564221
"StdDev Sharpe (Rf=25%, p=95%):",-5.96859129923079,-6.11281128074356
"StdDev Sharpe (Rf=25%, p=95%):",-6.09377753495952,-6.25185783797944
"StdDev Sharpe (Rf=30%, p=95%):",NA,NA
"StdDev Sharpe (Rf=30%, p=95%):",-17.5546944372834,-17.6161819834735
"StdDev Sharpe (Rf=30%, p=95%):",-24.5513947902165,-24.1733844958792
"StdDev Sharpe (Rf=30%, p=95%):",-19.4139068642992,-18.0203971481151
"StdDev Sharpe (Rf=30%, p=95%):",-21.6000459136335,-20.4173169500416
"StdDev Sharpe (Rf=30%, p=95%):",-21.0363306224328,-21.9342597584708
"StdDev Sharpe (Rf=30%, p=95%):",-22.8001623370844,-23.8862370164663
"StdDev Sharpe (Rf=30%, p=95%):",-12.4288708450761,-12.8146277528309
"StdDev Sharpe (Rf=30%, p=95%):",-11.9315195993123,-12.2287400868454
"StdDev Sharpe (Rf=30%, p=95%):",-11.8588279004038,-11.9438475331725
"StdDev Sharpe (Rf=30%, p=95%):",-12.0415631560174,-12.110192898687
"StdDev Sharpe (Rf=30%, p=95%):",-9.50316165067172,-9.37377579567988
"StdDev Sharpe (Rf=30%, p=95%):",-9.70931284302604,-9.59150841581479
"StdDev Sharpe (Rf=30%, p=95%):",-8.87089096239845,-8.77823795957903
"StdDev Sharpe (Rf=30%, p=95%):",-7.7898737033765,-7.72600889792551
"StdDev Sharpe (Rf=30%, p=95%):",-8.05352023119811,-7.99171421834103
"StdDev Sharpe (Rf=30%, p=95%):",-7.713537914718,-7.69659244315745
"StdDev Sharpe (Rf=30%, p=95%):",-7.83670056413624,-7.8924697556575
"StdDev Sharpe (Rf=30%, p=95%):",-7.42098227325933,-7.65907557653143
"StdDev Sharpe (Rf=30%, p=95%):",-7.28959404978895,-7.54570203505211
"StdDev Sharpe (Rf=30%, p=95%):",-6.91564733867761,-7.06602506601711
"StdDev Sharpe (Rf=30%, p=95%):",-7.05145998463469,-7.22403694359625
